# start_epoch | 1784381981.556000
# downloaded_epoch | 1784382005.808000
# session_id | af89b916-438b-4037-915a-a2036cf4a2cb
# schema | webagent_os_events_v1
# format | EVENT | VALUE | EPOCH_SECONDS
# scope | browser_page_events_not_global_os_hooks
POINTER_MOVE | gesture=pointer_move pointerType=mouse buttons=0 pressure=0.000 x=633.3333740234375 y=269 pageX=633.3333740234375 pageY=381 dx=-1 dy=0 movementX=-1.0 movementY=0.0 distance=1.0 direction=left button #startSensingBtn type=button label=Stop sensing | 1784381983.863000
KEYDOWN | key=character code=KeyJ location=0 body | 1784381990.278000
KEYDOWN | key=character code=KeyD location=0 body | 1784381990.399000
KEYDOWN | key=character code=KeyJ location=0 body | 1784381990.525000
KEYDOWN | key=character code=KeyD location=0 body | 1784381990.680000
KEYDOWN | key=character code=KeyJ location=0 body | 1784381990.780000
KEYDOWN | key=character code=KeyA location=0 body | 1784381990.948000
KEYDOWN | key=character code=KeyS location=0 body | 1784381990.961000
KEYDOWN | key=character code=KeyK location=0 body | 1784381991.032000
KEYDOWN | key=character code=KeyJ location=0 body | 1784381991.161000
KEYDOWN | key=character code=KeyD location=0 body | 1784381991.214000
KEYDOWN | key=character code=KeyA location=0 body | 1784381991.226000
KEYDOWN | key=character code=KeyK location=0 body | 1784381991.338000
KEYDOWN | key=character code=KeyL location=0 body | 1784381991.340000
KEYDOWN | key=character code=KeyS location=0 body | 1784381991.365000
KEYDOWN | key=character code=KeyJ location=0 body | 1784381991.450000
KEYDOWN | key=character code=KeyD location=0 body | 1784381991.463000
KEYDOWN | key=character code=KeyL location=0 body | 1784381991.591000
KEYDOWN | key=character code=KeyA location=0 body | 1784381991.598000
KEYDOWN | key=character code=KeyK location=0 body | 1784381991.600000
KEYDOWN | key=character code=KeyS location=0 body | 1784381991.677000
KEYDOWN | key=character code=KeyK location=0 body | 1784381991.696000
KEYDOWN | key=character code=KeyJ location=0 body | 1784381991.698000
KEYDOWN | key=character code=KeyD location=0 body | 1784381991.740000
KEYDOWN | key=character code=KeyL location=0 body | 1784381991.854000
KEYDOWN | key=character code=KeyA location=0 body | 1784381991.855000
KEYDOWN | key=character code=KeyK location=0 body | 1784381991.915000
KEYDOWN | key=character code=KeyS location=0 body | 1784381991.968000
